# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=1
# stan_version_patch=0
# init=random
# seed=385583929
# chain_id=3
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=./diagnostic_file.dat_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,alpha,beta,p_alpha,p_beta,g_alpha,g_beta
-247.273,1,0.25,0,0,-17.1633,0.635773,-75.6717,-10.3669,-1.00439,47.7118
-247.273,0,14.3855,-1,1,-17.1633,0.635773,-0.0223918,-0.0695242,-1.00439,47.7118
-247.273,0,2.43117,-1,1,-17.1633,0.635773,-0.647685,-0.870751,-1.00439,47.7118
-189.487,0.666668,0.239791,1,0,-16.7496,-0.566779,1.84602,-9.89343,-1.00664,40.689
-160.008,1,0.125135,1,0,-16.6632,-1.7393,-0.471312,7.26483,-1.00725,8.9278
-154.408,0.855466,0.18775,3,0,-12.4077,-1.85185,-3.70969,1.15576,-1.50081,6.11851
-153.935,1,0.199875,1,0,-12.6089,-2.1799,-0.218174,-1.11788,-1.41185,-1.23263
-153.706,0.892838,0.349088,1,0,-12.1913,-1.92089,-1.47887,0.0373833,-1.61889,4.46501
-153.706,0.00036182,0.452459,0,0,-12.1913,-1.92089,1.18391,1.78754,-1.61889,4.46501
-151.821,0.97751,0.0356787,4,0,-11.4008,-2.20749,-2.08478,0.921947,-2.32568,-1.78342
-151.269,0.9993,0.0620579,2,0,-11.1722,-2.02801,-1.07861,-0.331247,-2.64091,2.01646
-152.129,1,0.117139,1,0,-11.5628,-2.17035,0.716874,0.399718,-2.13643,-1.03172
-144.458,0.732251,0.222869,1,0,-9.65728,-2.15575,-4.44297,1.44764,-7.00231,-0.683673
-137.71,0.589053,0.183275,1,0,-8.89742,-2.08881,-3.81995,-0.107067,-10.9142,0.781302
-132.837,0.960041,0.0970477,1,0,-8.47505,-1.97389,3.22227,-0.0340909,-13.2751,3.36238
-92.4106,0.70375,0.164071,1,0,-6.02314,-2.45842,8.99157,-0.147567,-14.5791,-3.38926
-88.349,1,0.125539,1,0,-5.72178,-2.39934,-2.79516,-0.533073,-11.1824,-1.53333
-84.9302,1,0.238853,1,0,-5.08781,-2.26454,-2.45238,-0.00492158,1.56314,3.29732
-84.9302,0.255543,0.450749,0,0,-5.08781,-2.26454,0.606806,-1.10826,1.56314,3.29732
-84.9637,0.998737,0.0899338,1,0,-5.08868,-2.25414,0.161256,0.255595,1.60366,3.40874
-84.9687,0.87603,0.169072,1,0,-5.2001,-2.24548,1.07241,1.27376,-1.15408,2.87213
-84.4889,0.776557,0.219031,1,0,-5.05648,-2.47108,1.8546,-0.416156,0.918717,1.44112
-84.7783,0.951699,0.211197,1,0,-4.98789,-3.02848,0.727473,-0.890994,-3.04459,-2.63412
-84.4318,0.826953,0.339183,0,0,-5.09187,-2.68384,0.0020567,-1.14391,-1.79564,-0.75353
-84.4318,0.000519122,0.377321,0,0,-5.09187,-2.68384,-1.43331,0.168858,-1.79564,-0.75353
-84.4879,0.999836,0.0395218,3,0,-4.91219,-2.70624,-0.0165228,-0.184451,2.55576,0.881398
-85.3617,0.980407,0.0729747,2,0,-5.33292,-2.63279,0.276211,-0.540993,-6.39091,-2.21039
-86.2337,0.93949,0.126294,1,0,-5.33304,-2.88481,-1.07408,0.429937,-8.29085,-4.67891
-84.9195,1,0.193258,1,0,-5.12864,-2.88779,-1.49668,-0.264588,-4.54329,-2.89771
-85.2869,0.987592,0.347053,0,0,-4.48637,-3.46191,1.31616,-1.78132,3.08006,0.73214
-85.2869,4.00689e-10,0.596585,0,0,-4.48637,-3.46191,-0.936287,0.0199531,3.08006,0.73214
-85.2636,1,0.0695281,2,0,-4.48958,-3.48803,0.21509,0.225106,2.49597,0.364465
-84.5209,0.991512,0.12411,2,0,-4.94524,-2.94449,0.121236,-1.35446,-1.0643,-1.40397
-84.6512,0.947071,0.214535,1,0,-4.81871,-2.84105,0.568864,0.0148025,3.57635,1.00078
-84.6512,0.0536931,0.326728,0,0,-4.81871,-2.84105,0.836721,1.35558,3.57635,1.00078
-85.7427,0.998563,0.0471814,3,0,-4.61024,-3.68713,0.628583,-0.59507,-3.92369,-4.12082
-85.0176,0.997945,0.0826077,2,0,-4.62016,-3.24064,1.28714,-0.357464,3.24752,0.674111
